adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,rationcard,Y,Z,subcaste_2,mothertongue_2,ration_color_2,shg2,gender1
6,2,27,1,3,0,0,0,0,0,0,2,2,2,1,0,0,358,2,28,0,0
24,2,24,1,3,0,0,0,0,0,0,2,1,1,3,0,0,422,2,5,1,0
33,1,54,1,3,0,0,1,0,0,0,2,1,2,1,0,0,422,2,28,0,1
34,2,45,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,28,0,0
37,3,45,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,0,0
40,3,35,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,0,0
57,1,55,1,1,0,0,0,0,0,0,2,1,2,1,0,0,20,2,28,0,0
71,1,45,1,1,0,0,0,0,0,0,2,1,2,1,0,0,20,2,40,0,1
87,2,45,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,28,0,0
91,2,60,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,28,0,0
93,3,35,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,28,0,0
111,2,35,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,40,0,0
129,2,31,1,3,0,0,0,0,0,0,2,2,1,1,0,0,358,2,40,1,0
135,2,33,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,1,0
141,2,45,1,1,0,0,0,0,1,0,2,1,2,1,0,0,20,2,40,1,0
146,2,30,1,1,0,0,0,0,0,0,2,1,2,1,0,0,20,2,28,0,0
155,2,30,1,1,0,0,0,0,0,0,2,2,2,1,0,0,20,2,28,0,0
163,2,38,1,1,0,0,0,0,0,0,2,2,1,1,0,0,20,2,28,0,0
174,2,38,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,28,0,0
180,2,28,1,3,0,0,0,0,0,0,2,2,2,1,0,0,358,2,28,0,0
184,2,35,2,3,1,0,0,0,0,0,2,1,1,1,0,0,286,7,40,1,0
191,2,40,1,3,0,0,0,0,0,0,2,2,1,1,0,0,422,2,28,0,0
214,1,30,1,3,0,0,0,0,0,0,2,1,2,3,0,0,422,2,5,0,1
223,1,30,1,3,0,0,0,0,0,0,2,1,1,1,0,0,422,2,28,0,1
227,2,50,1,3,0,0,0,0,0,0,2,2,2,1,0,0,358,2,28,0,0
229,3,28,1,3,0,0,0,0,0,0,2,1,2,1,0,0,358,2,28,0,0
233,2,50,1,4,0,0,1,0,0,0,2,2,1,1,0,0,414,2,33,0,0
258,2,27,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,28,1,0
267,2,40,1,3,0,0,0,0,0,0,2,1,1,3,0,0,422,2,5,0,0
270,2,35,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,28,0,0
285,3,25,1,3,0,0,0,0,0,0,2,2,2,3,0,0,422,2,5,0,0
295,2,45,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,0,0
