adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
1,2,1,49,1,3,0,1,1,1,1,1,1,1,2,1,3,2,1,0
2,1,3,28,1,3,1,0,0,1,1,0,1,1,2,2,3,6,1,0
3,2,3,20,1,3,1,0,0,0,0,0,2,2,1,1,3,6,0,0
6,1,1,47,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
7,2,2,45,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
8,2,3,21,1,3,0,0,1,0,0,0,1,2,2,2,1,2,0,0
20,1,1,35,2,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
21,2,2,28,2,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
24,1,1,35,2,3,1,0,1,1,0,0,1,1,2,2,1,7,1,0
25,2,2,28,2,3,0,0,1,0,1,0,2,2,1,1,1,2,1,0
28,1,1,70,1,3,0,0,1,0,0,0,1,2,2,2,1,2,1,1
29,2,2,65,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
30,1,3,30,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
31,2,3,22,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
39,1,1,48,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
40,2,2,37,1,3,0,0,1,0,0,0,2,1,1,2,1,2,1,1
42,1,1,45,2,3,0,0,1,0,0,0,2,2,2,2,1,2,1,0
43,2,2,40,2,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
44,2,3,18,2,3,0,0,1,0,0,0,2,2,2,2,1,2,0,0
51,1,1,40,2,3,0,0,1,0,0,0,1,1,2,2,3,2,1,1
52,2,2,35,2,3,0,0,1,0,0,0,2,1,1,1,3,2,1,1
64,2,1,40,2,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
71,1,1,32,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
72,2,2,30,1,2,0,0,1,0,0,0,2,1,2,2,1,2,1,1
79,1,1,29,1,2,0,0,1,0,0,0,1,1,2,2,3,2,1,1
80,2,2,23,1,2,0,0,1,0,0,0,2,2,2,2,3,2,0,1
87,1,1,50,2,3,0,0,1,0,0,0,2,1,2,2,3,2,1,1
88,2,2,40,2,3,0,0,1,0,0,0,1,2,2,2,3,2,1,1
92,1,1,44,1,2,0,0,1,0,0,0,1,1,2,1,1,2,1,0
93,2,2,35,1,2,0,0,1,0,0,0,2,2,2,2,1,2,1,0
102,1,1,25,2,3,1,0,0,1,1,0,1,1,2,2,1,7,1,1
103,2,2,22,2,3,1,0,1,1,0,0,2,2,2,1,1,7,0,1
106,2,3,40,2,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
107,1,1,35,1,3,0,1,1,0,0,0,2,1,2,1,3,2,0,0
108,2,2,26,1,3,1,0,1,0,0,0,2,2,2,2,3,5,0,0
111,2,1,36,1,2,0,0,1,0,0,0,1,1,2,1,3,2,1,0
115,1,1,65,1,2,0,0,1,0,0,0,2,1,2,2,3,2,1,1
116,2,2,40,1,2,0,0,1,0,0,0,2,1,2,2,3,2,1,1
128,1,1,44,1,4,0,0,1,0,0,0,2,1,2,2,3,2,0,0
129,2,2,40,1,4,0,0,1,0,0,0,2,1,2,2,3,2,0,0
132,1,1,45,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
133,2,2,36,1,2,0,0,1,0,0,0,2,1,2,2,1,2,1,1
137,1,1,25,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,0
160,1,1,35,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,0
161,2,2,28,1,2,0,0,1,0,0,0,2,2,1,1,1,2,1,1
162,1,1,50,1,1,0,0,1,0,0,0,1,1,2,1,3,2,1,0
163,2,2,45,1,1,0,0,1,0,0,0,2,1,1,1,3,2,1,1
166,1,1,40,1,2,0,0,1,0,0,0,1,1,2,1,3,2,1,1
167,2,2,35,1,2,0,0,1,0,0,0,2,1,2,1,3,2,0,1
169,2,1,40,2,3,0,0,1,0,1,0,2,2,2,2,1,2,1,1
171,2,3,18,2,3,0,0,1,0,0,0,2,2,2,2,3,7,0,1
173,1,1,27,2,3,1,0,1,0,0,0,2,1,2,1,1,7,1,0
174,2,2,22,2,3,1,0,1,0,0,0,2,2,2,2,1,7,0,0
177,2,3,50,2,3,1,0,1,0,0,0,2,2,2,2,1,7,0,0
181,2,1,70,1,2,0,0,1,0,0,0,2,1,2,2,3,2,1,1
182,1,3,48,1,2,0,0,1,0,0,0,1,1,2,2,3,2,1,1
183,2,3,30,1,2,1,0,0,0,0,0,2,2,2,2,3,6,0,1
185,1,3,33,1,2,0,0,1,0,0,0,1,1,2,1,3,2,0,0
186,2,3,23,1,2,0,0,1,0,0,0,2,2,2,2,3,2,0,0
187,2,1,38,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,1
194,1,1,35,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
195,2,2,27,1,2,1,0,0,0,0,0,2,1,1,2,1,6,0,0
203,1,1,38,1,2,0,0,1,0,0,0,1,1,2,1,1,2,1,1
204,2,2,31,1,2,0,0,1,0,0,0,2,1,2,2,1,2,1,1
205,2,2,25,1,2,0,0,1,0,0,0,2,1,2,2,1,2,0,0
220,2,1,50,2,3,1,0,1,0,0,0,2,2,2,2,1,7,1,1
222,2,3,23,2,3,1,0,1,1,0,0,2,2,2,2,1,7,0,0
226,1,1,40,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,0
227,2,2,38,1,2,0,0,1,0,0,0,2,1,1,1,1,2,1,0
233,1,1,30,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
234,2,2,28,1,2,0,0,1,0,0,0,2,1,1,1,1,2,1,1
238,2,2,28,1,2,0,0,1,0,0,0,2,1,1,1,3,2,0,0
243,2,3,50,1,2,0,0,1,0,0,0,1,2,2,2,1,2,1,1
244,1,1,35,1,2,0,0,1,0,0,0,1,1,2,2,3,2,1,0
245,2,2,30,1,2,0,0,1,0,0,0,2,1,1,1,3,2,1,0
258,1,1,35,1,2,0,0,1,0,0,0,1,1,2,2,3,2,1,1
