adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,65,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,1
2,2,2,55,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
3,1,3,30,1,3,0,0,1,1,0,0,1,1,1,1,1,2,0,0
4,2,3,24,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
7,1,3,28,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
8,2,3,24,1,3,0,0,1,0,0,0,2,2,1,3,3,2,1,0
14,1,1,55,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
15,2,2,50,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
24,1,1,35,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
25,2,2,30,1,3,0,0,1,0,0,0,2,1,1,3,1,2,1,0
28,1,3,28,1,3,0,0,1,0,0,0,1,1,2,3,1,2,0,0
29,2,3,25,1,3,0,0,1,0,0,0,2,1,1,3,1,2,1,0
35,2,2,30,1,3,0,0,0,0,0,0,2,1,1,3,1,2,0,1
39,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,6,0,0
40,2,2,40,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
41,2,3,18,1,3,0,0,0,0,0,0,1,2,2,3,1,2,0,0
44,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
45,2,2,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
48,1,1,70,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
50,2,3,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
51,1,3,50,1,3,0,0,0,0,0,0,1,1,2,1,1,6,0,1
53,2,3,25,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
56,1,1,58,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
57,2,2,50,1,3,0,0,0,0,0,0,2,1,2,1,1,2,0,0
59,2,3,24,1,3,0,0,1,0,0,0,1,2,1,3,1,2,0,0
70,1,1,37,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
71,2,2,30,1,3,0,0,1,0,0,0,2,1,1,3,1,2,1,0
81,1,1,55,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
82,2,2,50,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,1
90,1,1,35,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
136,1,1,41,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
137,2,2,38,1,3,0,0,1,0,0,0,2,1,1,1,3,2,1,0
141,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,3,2,0,1
142,2,2,42,1,3,0,0,0,0,0,0,2,2,1,1,3,2,1,1
143,2,2,40,1,3,0,0,0,0,0,0,2,1,2,1,3,2,0,1
161,1,1,55,1,3,0,0,1,1,0,0,1,2,2,1,1,2,0,0
162,2,2,48,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,1
164,1,1,60,1,3,0,0,1,0,0,0,2,1,2,3,3,2,0,1
165,2,2,40,1,3,0,0,1,0,0,0,1,1,2,3,3,2,0,1
170,1,1,61,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
171,2,2,58,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
174,1,3,60,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
175,2,3,50,1,3,0,0,1,0,0,0,2,1,1,1,3,2,1,1
177,1,1,40,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
178,2,2,38,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,1
181,1,3,38,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
182,2,3,35,1,3,0,0,1,0,0,0,2,1,2,3,1,2,0,0
193,1,1,45,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
194,2,2,30,1,3,0,0,1,0,0,0,2,2,1,1,1,2,0,0
209,1,1,48,1,3,0,0,1,0,0,0,1,2,1,1,1,2,0,0
210,2,2,45,1,3,0,0,0,0,0,0,2,1,2,1,1,2,0,1
212,1,1,48,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
216,1,1,38,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
217,2,2,33,1,3,0,0,1,0,0,0,2,2,1,1,3,2,1,1
239,2,2,28,1,3,0,0,0,0,0,0,2,1,1,1,3,2,1,1
243,1,1,42,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
244,2,2,35,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
266,1,1,65,1,3,0,0,1,0,0,0,1,2,2,1,1,2,0,1
273,1,1,40,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
274,2,2,35,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
277,1,3,38,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
278,2,3,32,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
281,1,1,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
282,2,2,40,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
