adjmatrix_key,resp_status,age,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
5,1,38,1,3,2,0,0,0,0,0,0,2,1,1,2,1,1,2,0,1
23,1,29,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
27,1,58,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
28,2,40,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,0
38,3,40,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
39,3,40,1,3,2,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
58,3,25,1,1,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,0
59,3,20,1,1,2,0,0,0,0,0,0,6,1,2,2,1,1,2,0,0
72,2,35,1,1,2,0,0,0,0,0,0,10,1,1,1,1,1,2,1,0
86,1,50,1,3,2,0,0,0,0,0,0,4,1,1,1,1,1,2,0,1
89,3,24,1,3,2,0,0,0,0,0,0,10,1,2,1,1,1,2,0,0
90,1,65,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
92,3,43,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
110,1,40,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
128,1,35,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
134,1,38,1,3,2,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
137,3,20,1,3,1,0,0,0,0,0,1,10,1,2,2,3,3,2,0,0
138,3,18,1,3,2,0,0,0,0,0,0,8,1,1,2,3,1,2,0,0
140,1,50,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
145,1,35,1,1,2,0,0,0,0,0,0,6,1,1,2,1,1,2,0,1
154,1,40,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
162,1,45,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
173,1,48,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
179,1,35,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
183,1,40,2,3,1,1,0,0,0,0,0,16,1,1,2,1,1,7,0,1
190,1,45,1,3,2,0,0,0,0,0,0,3,1,1,2,1,1,2,0,1
209,1,60,1,3,2,0,0,0,0,0,0,7,1,1,1,1,1,2,0,1
210,2,45,1,3,2,0,0,0,0,0,0,4,1,2,1,1,1,2,1,0
215,2,25,1,3,2,0,0,0,0,0,0,16,1,2,2,1,3,2,0,0
226,1,55,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
228,3,30,1,3,2,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
232,1,65,1,4,1,0,0,1,0,0,0,4,1,1,1,1,1,2,0,1
235,3,21,1,4,2,0,0,0,0,0,0,8,1,2,2,3,1,2,0,0
254,2,45,1,3,2,0,0,0,0,0,0,16,1,2,2,3,3,2,0,0
257,1,32,1,3,2,0,0,0,0,0,0,9,1,1,1,1,1,2,0,1
266,1,58,1,3,2,0,0,0,0,0,0,16,1,1,2,1,3,2,0,1
269,3,45,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
283,1,70,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
284,3,40,1,3,2,0,0,0,0,0,0,16,1,1,2,1,3,2,0,1
294,1,54,1,3,1,1,0,0,0,0,0,13,1,1,1,1,1,2,0,1
297,3,20,1,3,1,0,0,0,0,0,1,11,1,2,2,3,3,2,0,0
299,1,30,1,3,2,0,0,0,0,0,0,4,1,1,2,1,3,2,0,1
309,1,45,1,3,2,0,0,0,0,0,0,5,1,1,1,1,1,2,0,1
310,2,38,1,3,2,0,0,0,0,0,0,4,1,1,1,1,1,2,0,0
320,1,75,1,3,2,0,0,0,0,0,0,10,1,2,2,1,1,2,0,1
322,3,50,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
326,3,42,1,3,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
332,2,35,1,3,2,0,0,0,0,0,0,5,1,2,2,1,1,2,0,0
351,3,25,1,3,2,0,0,0,0,0,0,10,1,1,1,1,1,2,1,0
353,3,30,1,3,2,0,0,0,0,0,0,10,1,1,2,3,1,2,0,1
354,1,40,1,3,2,0,0,0,0,0,0,3,1,1,1,1,1,2,0,1
362,1,50,1,3,2,0,0,0,0,0,0,16,1,2,1,2,1,2,0,1
363,2,40,1,3,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,0
374,3,30,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,0
392,1,60,1,3,2,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
394,3,30,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
397,1,45,1,3,2,0,0,0,0,0,0,7,1,1,2,1,3,2,0,1
401,3,35,1,3,1,0,0,0,0,0,1,13,1,1,2,1,1,2,0,1
410,1,55,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
