adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
8,1,65,2,3,1,0,1,1,0,0,16,1,1,2,3,1,7,0,1
9,2,58,2,3,1,0,1,0,0,0,16,1,2,2,1,1,7,0,0
10,3,27,2,3,1,0,1,1,0,1,12,1,2,1,1,1,7,0,0
27,1,30,1,1,0,1,1,0,0,0,16,1,1,2,1,1,2,0,1
28,2,28,1,1,0,1,1,0,0,0,7,2,1,1,1,1,2,0,0
30,1,43,1,2,0,0,1,0,0,0,3,2,1,2,1,1,2,1,0
43,1,28,1,3,0,0,0,1,0,0,16,1,1,2,1,1,2,0,1
44,2,22,1,3,0,0,1,0,0,0,7,2,2,2,3,1,2,0,0
46,1,26,1,1,0,1,1,0,0,0,1,1,1,2,1,1,2,0,1
47,2,21,1,1,0,0,1,0,0,0,9,2,1,2,1,1,2,1,0
50,1,45,1,3,0,1,1,1,0,0,6,2,1,2,3,1,2,0,1
51,2,38,1,1,0,1,1,0,0,0,16,1,1,2,1,1,2,0,0
52,1,40,1,1,0,0,1,0,0,0,10,2,1,2,1,1,2,0,1
53,2,30,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,1,0
56,1,50,1,1,0,1,1,0,0,0,16,1,1,2,1,1,2,0,1
57,2,40,1,1,1,0,1,0,0,0,16,1,2,2,1,1,5,0,0
68,1,50,1,3,0,0,0,0,0,0,2,1,2,2,1,1,2,0,1
69,2,40,1,3,0,0,0,0,0,0,16,1,2,2,1,1,2,0,0
72,1,50,2,3,1,0,1,0,0,0,16,2,1,2,1,1,7,0,0
73,1,30,1,3,0,0,1,0,1,0,10,1,1,1,1,1,2,1,1
74,2,25,1,3,0,0,1,0,0,0,3,2,2,2,1,1,2,0,0
81,1,28,1,1,0,0,1,1,0,0,16,1,2,2,1,1,2,0,1
96,1,70,1,3,0,0,1,0,0,0,2,1,2,2,1,1,2,0,1
97,2,60,1,1,0,0,1,0,0,0,16,2,1,2,-999,-999,2,0,0
106,1,50,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
108,1,49,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,1
109,2,40,1,3,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
112,1,50,2,3,1,0,1,0,0,0,16,2,1,2,1,1,7,0,1
113,2,40,2,3,1,0,1,0,0,0,16,1,2,2,1,1,7,0,0
132,1,45,1,1,0,1,1,0,0,0,10,2,1,2,1,1,2,0,1
133,2,39,1,1,0,0,1,0,0,0,8,2,2,2,1,1,2,0,0
150,1,30,1,1,0,1,1,0,0,0,7,1,1,2,1,1,2,0,1
151,2,25,1,1,0,0,0,0,0,0,5,2,1,2,1,1,6,0,0
159,1,30,1,1,0,0,1,1,0,0,7,1,1,2,1,1,2,0,1
160,2,25,1,1,0,0,0,0,0,0,4,2,2,2,1,3,6,0,0
163,3,28,1,1,0,0,1,0,0,0,9,1,1,2,1,1,2,0,1
164,3,21,1,1,0,0,1,0,0,0,4,2,2,2,3,3,2,0,0
165,3,50,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,1,0
170,2,40,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
182,1,55,1,1,0,0,0,0,0,0,4,2,1,2,1,1,2,0,1
183,2,50,1,1,0,1,1,0,0,0,16,1,2,2,1,1,2,0,0
184,3,30,1,1,0,1,1,0,0,0,16,1,1,2,1,3,2,0,1
195,1,30,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,0
200,1,30,1,1,0,0,1,0,0,0,3,1,1,2,1,3,2,0,1
201,2,21,1,1,0,0,1,0,0,0,7,2,2,2,1,3,2,0,0
214,1,30,1,1,0,1,1,1,0,0,10,1,1,2,1,1,2,0,1
215,2,26,1,1,0,0,0,0,0,0,10,2,1,2,1,1,2,1,0
226,1,30,1,1,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
227,2,26,1,1,0,0,1,0,0,0,16,2,2,2,1,1,2,1,0
228,1,50,1,1,0,0,1,0,0,0,5,2,1,1,1,1,2,1,0
229,3,30,1,1,0,1,1,0,0,0,8,1,1,2,1,1,2,0,1
230,3,25,1,1,0,1,1,0,0,0,12,2,2,1,1,1,2,1,0
254,1,55,1,1,0,1,1,0,0,0,16,1,1,2,1,1,2,0,1
257,1,40,1,1,0,1,1,0,0,0,16,1,1,2,1,1,2,0,1
258,2,33,1,1,0,1,0,0,0,0,16,2,1,1,1,1,2,1,0
265,1,45,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
266,2,40,1,1,0,1,1,0,0,0,16,2,1,1,1,1,2,1,0
268,3,20,1,1,0,0,1,0,0,0,10,1,1,1,3,1,2,1,0
271,1,65,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
272,2,60,1,1,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
273,3,27,1,1,0,0,1,0,0,0,10,2,1,2,1,1,2,0,0
277,1,50,1,1,0,1,1,0,0,0,16,1,1,1,1,1,2,0,1
278,2,38,1,1,0,1,1,0,0,0,16,2,1,1,1,1,2,1,0
279,3,20,1,1,0,1,1,0,0,0,10,1,2,2,3,1,2,0,0
281,1,45,1,1,0,1,1,0,0,0,16,2,1,2,1,1,2,0,1
282,2,42,1,1,0,1,1,0,0,0,1,2,2,1,1,1,2,0,0
288,1,55,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
289,2,48,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
309,1,30,1,1,0,1,1,0,0,0,3,1,1,2,1,1,2,0,1
310,2,28,1,1,1,0,1,0,0,0,16,1,1,2,1,1,2,0,0
312,1,60,1,1,0,0,1,1,0,0,2,1,1,1,1,1,2,0,1
313,2,53,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
315,3,26,1,1,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
317,3,25,1,1,0,1,1,0,0,0,8,1,1,1,1,1,2,0,1
318,3,19,1,1,0,1,1,0,0,0,9,2,2,1,3,1,2,1,0
320,3,18,1,1,0,1,1,0,0,0,9,1,1,1,3,1,2,1,0
321,1,42,1,1,0,0,1,1,0,0,5,1,1,1,1,1,2,0,1
322,2,27,1,1,0,0,0,0,0,0,10,2,2,1,1,1,2,0,0
329,2,30,1,1,0,0,0,0,0,0,16,1,1,2,1,1,2,1,0
339,2,48,1,3,0,0,1,0,0,0,5,2,1,2,1,1,2,0,1
340,2,40,1,3,0,0,1,0,0,0,4,2,1,2,3,1,2,0,0
341,3,18,1,3,0,0,0,0,0,0,8,2,1,2,3,1,2,0,0
343,1,50,1,3,0,0,1,0,0,0,10,2,1,1,1,1,2,0,1
