adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,Y,Z,subcaste_2,mothertongue_2,ration_color_2
5,1,1,38,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,7,1,6
6,2,2,27,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,7,1,6
23,1,1,29,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
24,2,2,24,1,3,0,0,0,0,0,0,2,1,1,1,3,1,0,13,1,2
27,1,1,58,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
28,2,2,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,6
33,1,1,54,1,3,0,0,1,0,0,0,2,1,2,2,1,1,0,13,1,6
34,2,2,45,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
37,2,3,45,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,7
38,1,3,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
39,1,3,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
40,2,3,35,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,7
57,2,1,55,1,1,0,0,0,0,0,0,2,1,2,2,1,1,1,4,1,6
58,2,3,25,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,4,1,6
59,2,3,20,1,1,0,0,0,0,0,0,1,2,2,2,1,1,0,4,1,6
71,1,1,45,1,1,0,0,0,0,0,0,2,1,2,2,1,1,0,4,1,9
72,2,2,35,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,4,1,9
86,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
87,2,2,45,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
89,2,3,24,1,3,0,0,0,0,0,0,1,2,2,1,1,1,0,13,1,6
90,1,1,65,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
91,2,2,60,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
92,1,3,43,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
93,2,3,35,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,6
110,1,1,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,9
111,2,2,35,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,13,1,9
128,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,7,1,9
129,2,2,31,1,3,0,0,0,0,0,0,2,2,1,1,1,1,1,7,1,9
134,1,1,38,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
135,2,2,33,1,3,0,0,0,0,0,0,2,2,1,2,1,1,1,13,1,7
137,2,3,20,1,3,0,0,0,0,0,1,1,2,2,2,3,0,0,13,1,2
138,2,3,18,1,3,0,0,0,0,0,0,1,1,2,2,1,0,0,13,1,9
140,1,1,50,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,6
141,2,2,45,1,1,0,0,0,0,1,0,2,1,1,2,1,1,1,4,1,9
145,1,1,35,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,4,1,6
146,2,2,30,1,1,0,0,0,0,0,0,2,1,2,2,1,1,1,4,1,6
154,1,1,40,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,6
155,2,2,30,1,1,0,0,0,0,0,0,2,2,2,2,1,1,1,4,1,6
162,1,1,45,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,6
163,2,2,38,1,1,0,0,0,0,0,0,2,2,2,1,1,1,0,4,1,6
173,1,1,48,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
174,2,2,38,1,3,0,0,0,0,0,0,2,1,2,2,1,1,0,13,1,6
179,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,7,1,6
180,2,2,28,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,7,1,6
183,1,1,40,2,3,1,0,0,0,0,0,1,1,2,2,1,1,1,6,2,9
184,2,2,35,2,3,1,0,0,0,0,0,2,1,1,1,1,1,1,6,2,9
190,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
